caseId,region,scale,psm,treatment,whitelist,text,confidence,parsed,recoveredTruth,deterministic,distinctOutputs,msPerRun
approved-wine-018,line,1.5,sparse,production,unrestricted,Al 13 5% by Vol Ch,81,13,false,true,1,106
approved-wine-018,line,1.5,sparse,production,numeric,13 5%,68,13,false,true,1,77
approved-wine-018,line,1.5,sparse,production,numericPlusMarker,Al 13 5% by Vol Ch,81,13,false,true,1,75
approved-wine-018,line,1.5,sparse,grayscaleOnly,unrestricted,Al 13 5% by Vol Ch,78,13,false,true,1,75
approved-wine-018,line,1.5,sparse,normalise,unrestricted,Al 13 5% by Vol Ch,81,13,false,true,1,80
approved-wine-018,line,1.5,sparse,linearBoost,unrestricted,Al 13 5% by Vol TC ~,72,13,false,true,1,65
approved-wine-018,line,1.5,sparse,otsu,unrestricted,Al 13 5% by Vol Cah,79,13,false,true,1,47
approved-wine-018,line,1.5,sparse,otsu,numeric,13 5%,73,13,false,true,1,47
approved-wine-018,line,1.5,sparse,otsu,numericPlusMarker,Al 13 5% by Vol Cah,79,13,false,true,1,48
approved-wine-018,line,1.5,sparse,thresholdFixed,unrestricted,Al 13 5% by Vol Cah,79,13,false,true,1,51
approved-wine-018,line,1.5,sparse,inverted,unrestricted,Al 13 5% by Vol Ch,78,13,false,true,1,83
approved-wine-018,line,1.5,sparse,inverted,numeric,13 5%,70,13,false,true,1,85
approved-wine-018,line,1.5,sparse,inverted,numericPlusMarker,Al 13 5% by Vol Ch,78,13,false,true,1,86
approved-wine-018,line,1.5,sparse,invertedThreshold,unrestricted,Al 13 5% by Vol Cah,81,13,false,true,1,60
approved-wine-018,line,1.5,singleLine,production,unrestricted,c] 3.9% by Vol. Al,81,3.9,false,true,1,70
approved-wine-018,line,1.5,singleLine,production,numeric,1 3.9% .,31,1,false,true,1,70
approved-wine-018,line,1.5,singleLine,production,numericPlusMarker,c 1 3.9% by Vol. Al,59,1,false,true,1,70
approved-wine-018,line,1.5,singleLine,grayscaleOnly,unrestricted,c] 3.9% by Vol. Al,79,3.9,false,true,1,70
approved-wine-018,line,1.5,singleLine,normalise,unrestricted,c] 3.9% by Vol. Al,81,3.9,false,true,1,70
approved-wine-018,line,1.5,singleLine,linearBoost,unrestricted,c] 3.5% by Vol. A,74,3.5,false,true,1,56
approved-wine-018,line,1.5,singleLine,otsu,unrestricted,c] 3.5% by Vol. A,78,3.5,false,true,1,46
approved-wine-018,line,1.5,singleLine,otsu,numeric,1 3.5% .,31,1,false,true,1,43
approved-wine-018,line,1.5,singleLine,otsu,numericPlusMarker,c1 3.5% by Vol. A,70,1,false,true,1,42
approved-wine-018,line,1.5,singleLine,thresholdFixed,unrestricted,c] 3.9% by Vol. Al,78,3.9,false,true,1,43
approved-wine-018,line,1.5,singleLine,inverted,unrestricted,c] 3.9% by Vol. Al,80,3.9,false,true,1,77
approved-wine-018,line,1.5,singleLine,inverted,numeric,1 3.9% .,31,1,false,true,1,77
approved-wine-018,line,1.5,singleLine,inverted,numericPlusMarker,c 1 3.9% by Vol. Al,59,1,false,true,1,78
approved-wine-018,line,1.5,singleLine,invertedThreshold,unrestricted,c] 3.5% by Vol. A,81,3.5,false,true,1,50
approved-wine-018,line,1.5,singleWord,production,unrestricted,135%. A,53,13,false,true,1,88
approved-wine-018,line,1.5,singleWord,production,numeric,135%0.,0,13,false,true,1,88
approved-wine-018,line,1.5,singleWord,production,numericPlusMarker,135%. A,53,13,false,true,1,89
approved-wine-018,line,1.5,singleWord,grayscaleOnly,unrestricted,135%. A,55,13,false,true,1,88
approved-wine-018,line,1.5,singleWord,normalise,unrestricted,135%. A,53,13,false,true,1,89
approved-wine-018,line,1.5,singleWord,linearBoost,unrestricted,135% A,60,13,false,true,1,66
approved-wine-018,line,1.5,singleWord,otsu,unrestricted,135%. Al,54,13,false,true,1,46
approved-wine-018,line,1.5,singleWord,otsu,numeric,135%.,0,13,false,true,1,45
approved-wine-018,line,1.5,singleWord,otsu,numericPlusMarker,135%. Al,54,13,false,true,1,46
approved-wine-018,line,1.5,singleWord,thresholdFixed,unrestricted,135%. A,47,13,false,true,1,45
approved-wine-018,line,1.5,singleWord,inverted,unrestricted,135%. A,59,13,false,true,1,119
approved-wine-018,line,1.5,singleWord,inverted,numeric,135%0.,0,13,false,true,1,105
approved-wine-018,line,1.5,singleWord,inverted,numericPlusMarker,135%. A,59,13,false,true,1,128
approved-wine-018,line,1.5,singleWord,invertedThreshold,unrestricted,135%. A,52,13,false,true,1,53
approved-wine-018,line,1.5,singleBlock,production,unrestricted,c] 3.5% by Vol. Al 2 Ch,77,3.5,false,true,1,78
approved-wine-018,line,1.5,singleBlock,production,numeric,1 3.5% . 2,34,1,false,true,1,76
approved-wine-018,line,1.5,singleBlock,production,numericPlusMarker,c 1 3.5% by Vol. Al 2 Ch,61,1,false,true,1,78
approved-wine-018,line,1.5,singleBlock,grayscaleOnly,unrestricted,c] 3.5% by Vol. Al 2 Ch,72,3.5,false,true,1,78
approved-wine-018,line,1.5,singleBlock,normalise,unrestricted,c] 3.5% by Vol. Al 2 Ch,77,3.5,false,true,1,81
approved-wine-018,line,1.5,singleBlock,linearBoost,unrestricted,c] 3.5% by Vol. Al 2,72,3.5,false,true,1,64
approved-wine-018,line,1.5,singleBlock,otsu,unrestricted,c] 3.5% by Vol. Al Cha,78,3.5,false,true,1,47
approved-wine-018,line,1.5,singleBlock,otsu,numeric,1 3.5% .,31,1,false,true,1,48
approved-wine-018,line,1.5,singleBlock,otsu,numericPlusMarker,c1 3.5% by Vol. Al Cha,72,1,false,true,1,50
approved-wine-018,line,1.5,singleBlock,thresholdFixed,unrestricted,c] 3.5% by Vol. Al ) Cah,69,3.5,false,true,1,50
approved-wine-018,line,1.5,singleBlock,inverted,unrestricted,c] 3.5% by Vol. Al 3 Ch,77,3.5,false,true,1,87
approved-wine-018,line,1.5,singleBlock,inverted,numeric,1 3.5% . 3,42,1,false,true,1,89
approved-wine-018,line,1.5,singleBlock,inverted,numericPlusMarker,c 1 3.5% by Vol. Al 3 Ch,62,1,false,true,1,86
approved-wine-018,line,1.5,singleBlock,invertedThreshold,unrestricted,c] 3.5% by Vol. I) Ch,66,3.5,false,true,1,76
approved-wine-018,line,2,sparse,production,unrestricted,Al 13 5% by Vol Ch,78,13,false,true,1,127
approved-wine-018,line,2,sparse,production,numeric,13 5%,68,13,false,true,1,139
approved-wine-018,line,2,sparse,production,numericPlusMarker,Al 13 5% by Vol Ch,78,13,false,true,1,120
approved-wine-018,line,2,sparse,grayscaleOnly,unrestricted,Al 13 5% by Vol Ch,80,13,false,true,1,116
approved-wine-018,line,2,sparse,normalise,unrestricted,Al 13 5% by Vol Ch,78,13,false,true,1,114
approved-wine-018,line,2,sparse,linearBoost,unrestricted,Al 13 5% by Vol rs,78,13,false,true,1,102
approved-wine-018,line,2,sparse,otsu,unrestricted,Al 13 5% by Vol Cah,75,13,false,true,1,79
approved-wine-018,line,2,sparse,otsu,numeric,13 5%,62,13,false,true,1,77
approved-wine-018,line,2,sparse,otsu,numericPlusMarker,Al 13 5% by Vol Cah,75,13,false,true,1,75
approved-wine-018,line,2,sparse,thresholdFixed,unrestricted,Al 13 5% by Vol Cah,77,13,false,true,1,100
approved-wine-018,line,2,sparse,inverted,unrestricted,Al 13 5% by Vol Ch,81,13,false,true,1,125
approved-wine-018,line,2,sparse,inverted,numeric,13 5%,68,13,false,true,1,126
approved-wine-018,line,2,sparse,inverted,numericPlusMarker,Al 13 5% by Vol Ch,81,13,false,true,1,125
approved-wine-018,line,2,sparse,invertedThreshold,unrestricted,Al 13 5% by Vol Cah,78,13,false,true,1,86
approved-wine-018,line,2,singleLine,production,unrestricted,c] 3.9% by Vol. Al,80,3.9,false,true,1,112
approved-wine-018,line,2,singleLine,production,numeric,1 3.9% .,31,1,false,true,1,112
approved-wine-018,line,2,singleLine,production,numericPlusMarker,c 1 3.9% by Vol. Al,63,1,false,true,1,111
approved-wine-018,line,2,singleLine,grayscaleOnly,unrestricted,c] 3.9% by Vol. Al,80,3.9,false,true,1,113
approved-wine-018,line,2,singleLine,normalise,unrestricted,c] 3.9% by Vol. Al,80,3.9,false,true,1,113
approved-wine-018,line,2,singleLine,linearBoost,unrestricted,c] 3.5% by Vol. A,71,3.5,false,true,1,89
approved-wine-018,line,2,singleLine,otsu,unrestricted,c] 3.5% by Vol. Al,77,3.5,false,true,1,66
approved-wine-018,line,2,singleLine,otsu,numeric,1 3.5% .,32,1,false,true,1,66
approved-wine-018,line,2,singleLine,otsu,numericPlusMarker,c 1 3.5% by Vol. Al,61,1,false,true,1,66
approved-wine-018,line,2,singleLine,thresholdFixed,unrestricted,c] 3.9% by Vol. Al,83,3.9,false,true,1,67
approved-wine-018,line,2,singleLine,inverted,unrestricted,c] 3.9% by Vol. Al,81,3.9,false,true,1,120
approved-wine-018,line,2,singleLine,inverted,numeric,1 3.9% .,31,1,false,true,1,118
approved-wine-018,line,2,singleLine,inverted,numericPlusMarker,c 1 3.9% by Vol. Al,60,1,false,true,1,118
approved-wine-018,line,2,singleLine,invertedThreshold,unrestricted,c] 3.5% by Vol. Al,79,3.5,false,true,1,74
approved-wine-018,line,2,singleWord,production,unrestricted,135%. A,62,13,false,true,1,140
approved-wine-018,line,2,singleWord,production,numeric,135%.,0,13,false,true,1,158
approved-wine-018,line,2,singleWord,production,numericPlusMarker,135%. A,62,13,false,true,1,140
approved-wine-018,line,2,singleWord,grayscaleOnly,unrestricted,135%. A,49,13,false,true,1,151
approved-wine-018,line,2,singleWord,normalise,unrestricted,135%. A,62,13,false,true,1,167
approved-wine-018,line,2,singleWord,linearBoost,unrestricted,135% A,57,13,false,true,1,109
approved-wine-018,line,2,singleWord,otsu,unrestricted,135%. A,52,13,false,true,1,78
approved-wine-018,line,2,singleWord,otsu,numeric,135%0.,0,13,false,true,1,80
approved-wine-018,line,2,singleWord,otsu,numericPlusMarker,135%. A,52,13,false,true,1,86
approved-wine-018,line,2,singleWord,thresholdFixed,unrestricted,135%. A,49,13,false,true,1,87
